rbd;COD_DEPE;NOM_RBD;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;EXC_OFERTA;POSTULACIONES;;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;habilitado_distancia
533;1;COLEGIO DARIO SALAS;5;5,11E+11;110;5;3;0;1;0;0;0;-29,87336;-71,24278;20;20;100%;3;15%;0;3;0;0;17;1;1
523;1;ESCUELA ALONSO DE ERCILLA;-1;4,01E+11;10;4;3;0;1;0;0;0;-29,87553;-71,24738;25;24;96%;1;4%;0;3;0;0;21;1;1
13445;3;COLEGIO ESPANOL;9;1,31E+11;310;1;2;0;1;1;0;0;-29,96618;-71,34113;28;28;100%;65;232%;0;5;0;0;23;1;0
13445;3;COLEGIO ESPANOL;10;2,31E+11;310;2;2;0;1;1;0;0;-29,96618;-71,34113;29;29;100%;3;10%;0;5;0;0;24;1;0
13445;3;COLEGIO ESPANOL;11;3,31E+11;310;3;2;0;1;1;0;0;-29,96618;-71,34113;24;24;100%;0;0%;0;4;0;0;20;1;0
13445;3;COLEGIO ESPANOL;12;4,31E+11;310;4;2;0;1;1;0;0;-29,96618;-71,34113;30;30;100%;0;0%;0;5;0;0;25;1;0
40208;3;COLEGIO TECNICO PROFESIONAL ALTUE;12;4,51051E+11;510;4;3;51009;1;0;0;0;-29,95342;-71,24812;20;20;100%;1;5%;0;3;0;0;17;1;1
536;1;COLEGIO BERNARDA MORIN;-1;4,01E+11;10;4;3;0;1;0;0;0;-29,91077;-71,22921;28;28;100%;4;14%;2;5;0;0;21;1;1
540;1;ESCUELA DE ISLON;-1;4,01E+11;10;4;3;0;1;0;0;0;-29,89787;-71,18532;15;14;93%;2;14%;2;2;0;0;10;1;1
40208;3;COLEGIO TECNICO PROFESIONAL ALTUE;12;4,41041E+11;410;4;3;41005;1;0;0;0;-29,95342;-71,24812;35;33;94%;1;3%;0;4;0;0;29;1;1
542;1;ESCUELA DE LAMBERT;-1;4,01E+11;10;4;3;0;1;0;0;0;-29,84302;-71,11961;30;22;73%;0;0%;2;0;0;0;20;1;1
