,NOM_RBD,LATITUD,LONGITUD
2,LICEO TECNICO MARTA BRUNET,-29.90633,-71.253967
9,COLEGIO JOSE MANUEL BALMACEDA,-29.919991,-71.251717
10,COLEGIO HEROES DE LA CONCEPCION,-29.90756,-71.2547
11,ESCUELA GERMAN RIESCO,-29.90641,-71.24469
13,COLEGIO GABRIEL GONZALEZ VIDELA,-29.89786,-71.25341
17,COLEGIO VILLA SAN BARTOLOME,-29.886999,-71.236382
18,COLEGIO JOSE MIGUEL CARRERA,-29.942751,-71.263451
42,COLEGIO ADVENTISTA LA SERENA,-29.935129,-71.275391
43,COLEGIO ISABEL RIQUELME,-29.883221,-71.225121
44,COLEGIO SAN FRANCISCO COLL,-29.87911,-71.245827
45,COLEGIO SAN ANTONIO,-29.904461,-71.249527
46,COLEGIO ELENA BETTINI,-29.90818,-71.253418
48,ESCUELA PARTICULAR TERESA VIDELA DE G,-29.92444,-71.256927
49,ESCUELA INDUSTRIAL SALESIANA SAN RAMON,-29.90975,-71.252022
50,COLEGIO PROVIDENCIA,-29.902241,-71.240913
52,COLEGIO SEMINARIO CONCILIAR,-29.905001,-71.243149
56,COLEGIO SAGRADOS CORAZONES,-29.904659,-71.247299
59,COLEGIO SANTO DOMINGO,-29.921869,-71.250229
71,INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO,-29.96055,-71.340134
75,COLEGIO DE ARTES CLAUDIO ARRAU,-29.961269,-71.338287
82,ESCUELA BASICA MARIO MUNOZ SILVA,-29.967279,-71.327621
85,ESCUELA TOMASA OLIVARES CAAMANO,-29.96139,-71.348793
86,ESCUELA BASICA DAVID LEON TAPIA,-30.26317,-71.489883
87,ESCUELA DE PENUELAS,-29.95158,-71.296204
89,COLEGIO LA HERRADURA,-29.98613,-71.361214
90,ESCUELA SAN RAFAEL,-30.01071,-71.256767
91,ESCUELA BASICA MANUEL DE SALAS,-30.19949,-71.429733
94,ESCUELA LUCILA GODOY ALCAYAGA,-29.97381,-71.299103
103,COLEGIO BERNARDO O´HIGGINS,-29.96076,-71.337341
104,COLEGIO MANUEL MONTT,-29.999411,-71.335777
105,COLEGIO SANTA MARTA,-29.96142,-71.34729
106,COLEGIO PARTICULAR GABRIELA MISTRAL,-29.963671,-71.339043
107,ESCUELA PARTICULAR METODISTA,-29.957479,-71.343391
108,COLEGIO PARTICULAR SAN IGNACIO,-29.98802,-71.334671
473,COLEGIO PARTICULAR MIGUEL DE CERVANTES,-29.96208,-71.24765
486,COLEGIO PARTICULAR SAN GABRIEL,-29.962021,-71.339333
