rbd,NOM_RBD,RURAL_RBD,cupos_totales,vacantes,ponderacion
13542,COLEGIO IRMA SALAS SILVA,0,500,39,0.1
648,COLEGIO SANTA MARTA,0,1107,91,0.1
769,COLEGIO SAN VIATOR,0,1230,103,0.1
11145,COLEGIO PARTICULAR CALASANZ,0,620,52,0.1
11130,COLEGIO SAN IGNACIO DE LOYOLA,0,563,48,0.1
987,COLEGIO SANTA TERESA,0,1176,101,0.1
763,COLEGIO SAN JUAN BAUTISTA,0,1230,107,0.1
13324,COLEGIO SANTA MARIA DE BELEN N_ 162,0,839,73,0.1
570,COLEGIO ELENA BETTINI,0,620,54,0.1
567,COLEGIO SAN FRANCISCO COLL,0,1235,110,0.1
766,COLEGIO SANTA MARIA EUFRASIA,0,1748,158,0.1
13361,KID´S WORLD SCHOOL,0,1063,100,0.1
13372,COLEGIO FRANCISCO PALAU,0,553,53,0.1
13356,COLEGIO ALBERT EINSTEIN,0,1028,99,0.1
13604,COLEGIO RAKIDUAM,0,616,60,0.1
583,COLEGIO SAGRADOS CORAZONES,0,1153,115,0.1
11105,COLEGIO PARTICULAR MIGUEL DE CERVANTES,0,1104,114,0.1
13384,SAINT JOHN´S SCHOOL,0,1123,117,0.1
13417,COLEGIO ELQUI,0,450,47,0.1
11106,COLEGIO PARTICULAR SANTA MARIA,0,1660,174,0.1
658,ESCUELA PATRICIO LYNCH,1,267,28,0.1
13373,COLEGIO PARTICULAR LEONARDO DA VINCI,0,912,97,0.1
13439,COLEGIO PUCARA,0,575,63,0.1
631,ESCUELA SAN RAFAEL,0,417,46,0.1
13489,COLEGIO MARIA EDUCA,0,1002,113,0.1
668,ESCUELA EDMUNDO VIDAL CARDENAS,0,461,52,0.1
13446,MARIA EDUCA,0,966,110,0.1
573,ESCUELA PARTICULAR TERESA VIDELA DE G,0,716,83,0.1
13313,COLEGIO FRANCIS SCHOOL,0,2061,239,0.1
526,COLEGIO JOSE MANUEL BALMACEDA,0,575,68,0.1
13442,COLEGIO SANTA FAMILIA,0,1259,149,0.1
650,ESCUELA PARTICULAR METODISTA,0,397,47,0.1
690,COLEGIO ANTONIO VARAS,0,996,118,0.1
632,ESCUELA BASICA MANUEL DE SALAS,0,410,49,0.1
13420,COLEGIO NUESTRA SENORA DE ANDACOLLO,0,1420,174,0.1
565,COLEGIO ADVENTISTA LA SERENA,0,935,120,0.1
13314,COLEGIO CRISTOBAL COLON,0,1024,133,0.1
767,COLEGIO PARTICULAR GABRIELA MISTRAL,0,477,62,0.1
13633,ESCUELA SAN MARINO COLLEGE,0,523,68,0.1
13305,COLEGIO TRINITY,0,331,44,0.1
13573,COLEGIO TAMELCURA,0,609,82,0.1
13627,COLEGIO SAN SEBASTIÁN,0,600,81,0.1
579,COLEGIO SEMINARIO CONCILIAR,0,1254,175,0.1
12779,COLEGIO ALTOS DEL CERRO GRANDE,0,390,55,0.1
11144,ESCUELA DIEGO DE ALMEYDA,0,1265,183,0.1
13535,COLEGIO CERRO GRANDE,0,690,100,0.1
649,COLEGIO PARTICULAR GABRIELA MISTRAL,0,1518,223,0.1
568,COLEGIO SAN ANTONIO,0,585,86,0.1
1066,ESCUELA PARTICULAR DIVINA PROVIDENCIA,0,842,124,0.1
13360,COLEGIO SAN NICOLAS,0,440,67,0.2
1108,ESCUELA BASICA MARTA BRUNETT,1,13,2,0.2
1049,COLEGIO DIEGO DE ALMAGRO,0,720,111,0.2
589,COLEGIO SANTO DOMINGO,0,336,53,0.2
13514,COLEGIO MARIA DE ANDACOLLO,0,427,69,0.2
1036,COLEGIO PARTICULAR SAN FRANCISCO DE ASIS,0,1243,207,0.2
558,COLEGIO PUNTA DE TEATINOS,1,18,3,0.2
40064,COLEGIO ALTA CORDILLERA,0,630,106,0.2
13610,COLEGIO INTERCULTURAL,1,312,54,0.2
13561,LIC.DE CIENC.Y HUM.SAN JOSEMARIA ESCRIVA,0,540,94,0.2
704,LICEO ALEJANDRO ALVAREZ JOFRE,0,974,172,0.2
13388,COLEGIO SANTO TOMAS LA SERENA,0,900,159,0.2
40231,COLEGIO CORDILLERA,0,503,90,0.2
13586,COLEGIO CHRIST SCHOOL,0,1710,308,0.2
13467,COLEGIO SANTA MARIA DEL REFUGIO,0,277,50,0.2
13475,COLEGIO SAN MARTIN DE PORRES,0,980,179,0.2
13513,COLEGIO DALMACIA,0,760,140,0.2
637,ESCUELA LUCILA GODOY ALCAYAGA,0,301,56,0.2
613,COLEGIO DE ARTES CLAUDIO ARRAU,0,883,170,0.2
13518,COLEGIO ARAUCO,0,296,57,0.2
11157,COLEGIO LIBERTADOR SIMON BOLIVAR,0,379,73,0.2
642,ESCUELA DE EL PENON,1,150,29,0.2
